Join_Count,TARGET_FID,ZONING,GPIN_ini,MZONE_ini,MLUSE_ini,MCLASS_ini,MTOTPR_ini,MTUTIL_ini,MBASA_ini,MTOTA_ini,MASSLU_ini,MAP_PIN_fnl,GPIN_fnl,Zoning_fnl,MZONE_fnl,MLUSE_fnl,MCLASS_fnl,MTOTPR_fnl,MTUTIL_fnl,MBASA_fnl,MTOTA_fnl,MASSLU_fnl,Area_acre,Change
4,0,R-C,6751-19-7457,,,,0,0,0,0,0,UNKNOWN_2,6771-30-1010,A-10,,,,0,0,0,0,0,52.8689,No
3,1,A-1,6746-94-5864,,72,,8930900,0,0,0,0,1-Jan,6757-00-0099,A-10,,72,C,10500100,11000,0,1272,0,2079.68,No
2,70,A-1,6703-56-6789,,2,,134500,0,0,0,0,12-27E,6703-57-7803,A-10,,2,C,412100,11000,2304,3456,0,20.4209,No
2,84,A-1,6704-90-3397,,2,C,203000,8000,841,1682,0,Dec-33,6704-90-3397,A-10,,2,,104000,6000,0,0,0,12.5153,No
2,95,A-1,6704-93-3521,,2,D,125800,8000,1139.5,1386,0,Dec-40,6704-93-3521,A-10,,2,D,133700,11000,1139.5,1386,0,13.081,No
2,112,A-1,6704-88-5449,,6,C,821900,8000,976,1696,98775,Dec-44,6704-89-7346,A-10,,6,,690600,0,0,0,55325,124.163,No
3,116,A-1,6704-87-9108,,5,C,546600,8000,1335,2032,78600,12-44D,6704-86-8948,A-10,,5,,416400,0,0,0,33925,78.6116,No
2,118,A-1,6705-81-5077,,5,C,507700,8000,2560,2560,73350,12-45A,6705-81-5077,A-10,,5,C,440000,11000,2560,2560,65050,66.6324,No
4,141,A-1,6713-18-6966,,6,C,3622700,48000,1348,2504,558500,12-3B1,6714-43-6382,A-10,,2,,48400,0,0,0,7300,734.31,Yes
2,151,A-1,6713-09-7063,,2,,75700,0,0,0,0,12-60C,6713-09-7063,A-10,,2,,73000,0,0,0,0,5.11415,No
2,158,A-1,6703-98-5091,,5,A,772500,8000,2728.5,3453.5,0,Dec-62,6703-98-5091,A-10,,5,A,991500,11000,2728.5,3453.5,0,47.5935,No
2,173,A-1,6713-28-3468,,2,C,264200,8000,1791,1791,0,12-72C,6713-28-2688,A-10,,2,C,284300,11000,1791,1791,0,6.53857,No
3,193,A-1,6704-33-8509,,2,,150000,0,0,0,0,11-2A,6704-21-9887,A-10,,5,C,539800,11000,1536,3744,76300,147.671,Yes
2,242,A-1,6714-74-7270,,5,C,490700,8000,1352,2528,70050,13-1F,6714-74-7270,A-10,,5,C,490900,11000,1352,2540,71125,36.6248,No
2,243,A-1,6714-75-2345,,2,C,263800,8000,1152,2144,0,13-1G,6714-75-2345,A-10,,2,C,295600,11000,1024,2016,0,9.72877,No
2,244,A-1,6714-75-8157,,2,C,231900,8000,1332,1332,0,13-1G1,6714-75-8157,A-10,,2,C,242100,11000,1332,1332,0,13.0665,No
3,253,A-1,6714-62-7647,,5,B,513700,8000,2658,2658,56300,13-3B,6714-63-3008,A-10,,2,B,551700,11000,1608,3868,50300,29.8004,Yes
2,298,R-U,6733-56-6898,,5,,158400,0,0,0,0,14-1-22A,6733-56-0734,R-U,,2,C,255800,11000,1711,1711,0,24.2288,Yes
2,300,R-U,6733-46-3908,,2,,60400,0,0,0,0,14-1-24A,6733-46-1938,R-U,,2,C,190700,11000,1296,1296,0,5.32753,No
