Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,MAP_PIN,CAMA_PIN_L,CAMA_LOT,MAP_TAXMAP,MAP_DBLCIR,MAP_BLOCK,MAP_LOT,COGO,ZONING,GPIN,MZONE,MLUSE,MCLASS,MIMPRV,MTOTLD,MTOTPR,MSELLP,MTUTIL,MBASA,MTOTA,MASSLU,MCAYR,DATA_YEAR,Area_ACRE,UNIQ_ID,MAP_PIN_12,CAMA_PIN_2,CAMA_LOT_2,MAP_TAXM_2,MAP_DBLC_2,MAP_BLOCK1,MAP_LOT_12,COGO_12,ZONING_12,GPIN_12,MZONE_12,MLUSE_12,MCLASS_12,MIMPRV_12,MTOTLD_12,MTOTPR_12,MSELLP_12,MTUTIL_12,MBASA_12,MTOTA_12,MASSLU_12,MCAYR_12,DATA_YEAR1,Area_ACRE1,UNIQ_ID_12
0,0,1,1,,,,,,,,NO,R-C,6751-19-7457,,,,0,0,0,0,0,0,0,0,0,2013,7.278E-08,201300000,38-23,038-23,23,38,,,23,NO,A-1,6741-30-9327,,2,C,137700,87900,225600,70000,8000,1160,1740,0,2009,2012,6.53933,201208437
0,488,1,2,14-55B,014-55B,55B,14,,,55B,YES,A-1,6733-28-4020,,2,,0,45500,45500,37900,0,0,0,0,2009,2013,2.47407,201300488,14-55B,014-55B,55B,14,,,55B,NO,A-1,6733-28-4020,,2,,0,63000,63000,37900,0,0,0,0,2009,2012,5.60829,201200486
0,578,1,3,14-92D,014-92D,92D,14,,,92D,YES,A-1,6733-67-1691,,2,C,105100,45000,150100,0,8000,1890,1890,0,2012,2013,1.99633,201300578,14-92D,014-92D,92D,14,,,92D,NO,A-1,6733-67-1691,,2,,0,37000,37000,0,0,0,0,0,2012,2012,2.58955,201200576
0,615,1,4,15-11-8,015-11-8,8,15,11,,8,YES,A-1,6744-11-5604,,2,,0,75300,75300,275000,0,0,0,0,0,2013,10.049,201300615,15-11-8,015-11-8,8,15,11,,8,YES,A-1,6744-11-5604,,2,,0,75100,75100,275000,0,0,0,0,0,2012,10.0206,201200614
0,888,1,5,15-9B,015-9B,9B,15,,,9B,YES,A-1,--,,2,,0,44300,44300,13000,0,0,0,0,2012,2013,6.49403,201300888,15-9,015-9,9,15,,,9,YES,A-1,6744-10-0221,,5,,0,73700,73700,0,0,0,0,16575,2010,2012,36.8319,201200872
0,1045,1,6,16-35B,016-35B,35B,16,,,35B,YES,A-1,6754-69-2726,,2,C,84200,112000,196200,0,8000,1316,2632,0,2011,2013,11.6075,201301045,16-35B,016-35B,35B,16,,,35B,NO,A-1,6754-69-2726,,2,C,84200,112000,196200,0,8000,1316,2632,0,2011,2012,15.4946,201201043
0,1051,1,7,16-35J,016-35J,35J,16,,,35J,NO,A-1,6755-70-5568,,2,C,108200,56000,164200,170000,8000,1040,1472,0,0,2013,2.0121,201301051,16-35B,016-35B,35B,16,,,35B,NO,A-1,6754-69-2726,,2,C,84200,112000,196200,0,8000,1316,2632,0,2011,2012,15.4946,201201043
0,1133,1,8,16-73A,016-73A,73A,16,,,73A,NO,A-1,6765-31-6157,,2,,0,103300,103300,27500,0,0,0,0,0,2013,16.2008,201301133,17-3,017-3,3,17,,,3,NO,A-1,6765-40-5450,,2,,33200,131800,165000,0,0,0,0,9900,0,2012,39.8144,201201443
0,1469,1,9,17-3D,017-3D,3D,17,,,3D,YES,A-1,6765-30-7647,,2,,0,35000,35000,0,0,0,0,0,2004,2013,1.00144,201301469,17-3,017-3,3,17,,,3,NO,A-1,6765-40-5450,,2,,33200,131800,165000,0,0,0,0,9900,0,2012,39.8144,201201443
0,1750,1,10,17C-5-14,017C-5-14,14,17C,5,,14,YES,R-5,6774-89-0841,,2,,0,104400,104400,0,0,0,0,0,0,2013,16.9216,201301750,17-60,017-60,60,17,,,60,NO,R-5,6774-89-0841,,5,,0,207600,207600,0,0,0,0,0,2003,2012,41.5878,201201514
